FullName,BirthDate,Married,Sex,Hobbies,Company,Education,OnlineTime,OnlineDay
MikheiIraklievichAverin,4/28/1973,Yes,Male,Painting,Salesman,Secondaryvocational,1,100
JulianaLopatinaGordeevich,2/8/1976,No,Male,Playingamusicalinstrument,Stateemployee,Universityeducation,0.5,200
DavidPlatonovichKornilov,1/2/1976,Yes,Male,Hiking,Stateemployee,Universityeducation,3,56
YakhlakovaFedotMartianovich,7/11/1973,No,Male,Sport,Businessman,Universityeducation,1,100
ReshetnikovaSebastianFedorovich,3/13/1987,Yes,Male,Photographing,Unemployed,Secondaryvocational,1,7
IppolitFukinSidorovich,8/2/2001,No,Male,Skateboarding,Salesman,Secondaryeducation,2,340
MosesKapylushnyIlyevich,4/24/1983,Yes,Male,Sport,Stateemployee,Universityeducation,4.5,100
SavelyPozdnyakovAfanasievich,8/1/2013,No,Male,Sport,Unemployed,Noeducation,3,143
ZavrazhnovArtemiyVadimovich,5/25/2009,No,Male,Painting,Unemployed,Noeducation,0.5,279
IonovSergeyModestovich,12/11/1981,Yes,Male,Photographing,Factoryworker,Secondaryvocational,3.5,44
LiliaErmilovaSvyatoslavovna,11/24/1999,Yes,Female,Hiking,Factoryworker,Secondaryvocational,1,247
IsabellaBondarchukMoiseevna,2/8/1991,No,Female,Hiking,Self-employed,Universityeducation,0.5,194
IgorBarkhotovaFilippovna,10/21/2011,No,Female,Sport,Unemployed,Noeducation,4,217
TamaraSerafimovnaPolunina,4/21/2012,No,Female,Photographing,Unemployed,Noeducation,2,320
YuliaShatovaAndreevna,2/4/2009,No,Female,Nohobbies,Unemployed,Noeducation,7,299
AlinaFedorovaGermanovna,11/24/2002,Yes,Female,Playingamusicalinstrument,Salesman,Secondaryeducation,2.5,365
MilenaKaramzinaEfimovna,3/30/2004,No,Female,Nohobbies,Unemployed,Basiceducation,0.5,340
MariaFomevnaMakusheva,4/8/1982,Yes,Female,Hiking,Stateemployee,Universityeducation,1,90
ValentinaEvseevnaGavrina,3/17/1976,Yes,Female,Hiking,Salesman,Universityeducation,1,16
LianaBraslavetsIosifovna,6/10/1985,Yes,Female,Playingamusicalinstrument,Stateemployee,Universityeducation,2,29
KhakhalinMartinSerafimovich,5/25/1978,No,Male,Sport,Unemployed,Secondaryvocational,3,111
MerzlovLukaMiroslavovich,7/11/1980,Yes,Male,Photographing,Factoryworker,Universityeducation,0.5,208
SopovGrigoryFilimonovich,8/22/2007,Yes,Male,Skateboarding,Unemployed,Basiceducation,3.5,284
StolyarovIrakliIosifovich,12/22/2003,Yes,Male,Sport,Unemployed,Secondaryeducation,1,347
